title,author,category
Lost in Time,A.G. Riddle,Best Science Fiction
Atomic Anna,Rachel Barenbaum,Best Science Fiction
The Genesis of Misery,Neon Yang,Best Science Fiction
Mickey7,Edward Ashton,Best Science Fiction
Sleepwalk,Dan Chaon,Best Science Fiction
Primitives,Erich Krauss,Best Science Fiction
Hidden Pictures,Jason Rekulak,Best Horror
The Hacienda,Isabel Cañas,Best Horror
What Moves the Dead,T. Kingfisher,Best Horror
Gwendy's Final Task,Stephen King,Best Horror
Juniper & Thorn,Ava Reid,Best Horror
Our Wives Under the Sea,Julia Armfield,Best Horror
The Children on the Hill,Jennifer  McMahon,Best Horror
House of Hunger,Alexis Henderson,Best Horror
The Violence,Delilah S. Dawson,Best Horror
Just Like Mother,Anne Heltzel,Best Horror
Manhunt,Gretchen Felker-Martin,Best Horror
Gallows Hill,Darcy Coates,Best Horror
Small Angels,Lauren Owen,Best Horror
We Spread,Iain Reid,Best Horror
Such Sharp Teeth,Rachel   Harrison,Best Horror
Sundial,Catriona Ward,Best Horror
The Devil Takes You Home,Gabino Iglesias,Best Horror
White Horse,Erika T. Wurth,Best Horror
The Cherry Robbers,Sarai Walker,Best Horror
The Fervor,Alma Katsu,Best Horror
The Office BFFs,Jenna Fischer,Best Humor
Girls Can Kiss Now,Jill Gutowitz,Best Humor
"Hello, Molly!",Molly Shannon,Best Humor
Ten Steps to Nanette,Hannah Gads,Best Humor
Idiots,Laura Clery,Best Humor
Happy-Go-Lucky,David Sedaris,Best Humor
The Nineties,Chuck Klosterman,Best Humor
The Field Guide to Dumb Birds of the Whole Stupid World,Matt Kracht,Best Humor
All about Me!,Mel Brooks,Best Humor
I'll Show Myself Out,Jessi Klein,Best Humor
Who Do I Think I Am?,Anjelah Johnson-Reyes,Best Humor
"I'd Like to Play Alone, Please",Tom Segura,Best Humor
Excuse Me While I Disappear,Laurie Notaro,Best Humor
Start Without Me,Gary Janetti,Best Humor
I'm More Dateable than a Plate of Refried Beans,Ginny Hogan,Best Humor
Midlife Bites,Jen Mann,Best Humor
The World's Worst Assistant,Sona Movsesian,Best Humor
The World Deserves My Children,Natasha Leggero,Best Humor
Sicker in the Head,Judd Apatow,Best Humor
In on the Joke,Shawn Levy,Best Humor
Atlas of the Heart,Brené Brown,Best Nonfiction
Unmasked,Paul Holes,Best Nonfiction
Why Has Nobody Told Me This Before?,Julie      Smith,Best Nonfiction
What If? 2,Randall Munroe,Best Nonfiction
These Precious Days,Ann Patchett,Best Nonfiction
All the Living and the Dead,Hayley Campbell,Best Nonfiction
The Myth of Normal,Gabor Maté,Best Nonfiction
How to Be Perfect,Michael Schur,Best Nonfiction
An Immense World,Ed Yong,Best Nonfiction
Bittersweet,Susan Cain,Best Nonfiction
The Trayvon Generation,Elizabeth Alexander,Best Nonfiction
Starry Messenger,Neil deGrasse Tyson,Best Nonfiction
Rogues,Patrick Radden Keefe,Best Nonfiction
The Song of the Cell,Siddhartha Mukherjee,Best Nonfiction
The Power of Regret,Daniel H. Pink,Best Nonfiction
Visual Thinking,Temple Grandin,Best Nonfiction
Stolen Focus,Johann Hari,Best Nonfiction
South to America,Imani Perry,Best Nonfiction
A Taste for Poison,Neil Bradbury,Best Nonfiction
Building a Second Brain,Tiago Forte,Best Nonfiction
I'm Glad My Mom Died,Jennette McCurdy,Best Memoir & Autobiography
"Madly, Deeply",Alan Rickman,Best Memoir & Autobiography
Finding Me,Viola Davis,Best Memoir & Autobiography
"Friends, Lovers, and the Big Terrible Thing",Matthew   Perry,Best Memoir & Autobiography
We Were Dreamers,Simu Liu,Best Memoir & Autobiography
What My Bones Know,Stephanie Foo,Best Memoir & Autobiography
Mean Ba,,Best Memoir & Autobiography
Solito,Javier Zamora,Best Memoir & Autobiography
Funny Farm,Laurie Zaleski,Best Memoir & Autobiography
Year of the Tiger,Alice  Wong,Best Memoir & Autobiography
In Love,Amy Bloom,Best Memoir & Autobiography
Bomb Shelter,Mary Laura Philpott,Best Memoir & Autobiography
Token Black Girl,Danielle Prescod,Best Memoir & Autobiography
Left on Tenth,Delia Ephron,Best Memoir & Autobiography
Lost & Found,Kathryn Schulz,Best Memoir & Autobiography
Crying in the Bathroom,Erika L. Sánchez,Best Memoir & Autobiography
Uncultured,Daniella Mestyanek Young,Best Memoir & Autobiography
The Man Who Could Move Clouds,Ingrid Rojas Contreras,Best Memoir & Autobiography
Stay True,Hua Hsu,Best Memoir & Autobiography
Easy Beauty,Chloé Cooper Jones,Best Memoir & Autobiography
Bad Gays,Huw Lemmey,Best History & Biography
His Name Is George Floyd,Robert Samuels,Best History & Biography
The Dark Queens,Shelley Puhak,Best History & Biography
The Escape Artist,Jonathan Freedland,Best History & Biography
And There Was Light,Jon Meacham,Best History & Biography
Wise Gals,Nathalia Holt,Best History & Biography
Anna,Amy Odell,Best History & Biography
Slaying the Dragon,Ben Riggs,Best History & Biography
Agent Josephine,Damien Lewis,Best History & Biography
River of the Gods,Candice Millard,Best History & Biography
Shine Bright,Danyel Smith,Best History & Biography
The Scandalous Hamiltons,Bill Shaffer,Best History & Biography
Prisoners of the Castle,Ben Macintyre,Best History & Biography
Bad Mexicans,Kelly Lytle Hernández,Best History & Biography
Rise,Jeff Yang,Best History & Biography
The Revolutionary,Stacy Schiff,Best History & Biography
Gangsters vs. Nazis,Michael Benson,Best History & Biography
Dangerous Rhythms,T.J. English,Best History & Biography
American Midnight,Adam Hochschild,Best History & Biography
By Hands Now Known,Margaret A. Burnham,Best History & Biography
Heartstopper,Alice Oseman,Best Graphic Novels & Comics
Lore Olympus,Rachel  Smythe,Best Graphic Novels & Comics
Demon in the Wood,Leigh Bardugo,Best Graphic Novels & Comics
Oddball,Sarah Andersen,Best Graphic Novels & Comics
"Saga, Volume 10",Brian K. Vaughan,Best Graphic Novels & Comics
Wash Day Diaries,Jamila Rowser,Best Graphic Novels & Comics
Everything Is OK,Debbie Tung,Best Graphic Novels & Comics
Huda F Are You?,Huda Fahmy,Best Graphic Novels & Comics
Ducks,Kate Beaton,Best Graphic Novels & Comics
"Fangirl, Vol. 2",Sam Maggs,Best Graphic Novels & Comics
Crumbs,Danie Stirling,Best Graphic Novels & Comics
Killing Stalking,Koogi,Best Graphic Novels & Comics
A Career in Books,Kate Gavino,Best Graphic Novels & Comics
The Many Deaths of Laila Starr,Ram V.,Best Graphic Novels & Comics
Chef's Kiss,Jarrett Melendez,Best Graphic Novels & Comics
Squire,Sara Alfageeh,Best Graphic Novels & Comics
Welcome to St. Hell,Lewis Hancox,Best Graphic Novels & Comics
It Won't Always Be Like This,Malaka Gharib,Best Graphic Novels & Comics
Messy Roots,Laura Gao,Best Graphic Novels & Comics
Thieves,Lucie Bryon,Best Graphic Novels & Comics
Call Us What We Carry,Amanda Gorman,Best Poetry
Time Is a Mother,Ocean Vuong,Best Poetry
Unlock Your Storybook Heart,Amanda Lovelace,Best Poetry
Serenity,F.S. Yousaf,Best Poetry
On Sun Swallowing,Dakota Warren,Best Poetry
And Yet,Kate Baer,Best Poetry
"The World Keeps Ending, and the World Goes on",Franny Choi,Best Poetry
Bless the Daughter Raised,a Voice in Her Head,Best Poetry
Woman Without Shame,Sandra Cisneros,Best Poetry
Musical Tables,Billy Collins,Best Poetry
Poukahangatus,Tayi Tibble,Best Poetry
The Hurting Kind,Ada Limon,Best Poetry
The Shift,Melody Godfred,Best Poetry
Weaving Sundown in a Scarlet Light,Joy Harjo,Best Poetry
Alive at the End of the World,Saeed Jones,Best Poetry
Girls That Never Die,Safia Elhillo,Best Poetry
Walking Gentry Home,Alora Young,Best Poetry
Normal Distance,Elisa Gabbert,Best Poetry
All the Flowers Kneeling,Paul Tran,Best Poetry
Golden Ax,Rio Cortez,Best Poetry
Lessons in Chemistry,Bonnie Garmus,Best Debut Novel
Daughter of the Moon Goddess,Sue Lynn Tan,Best Debut Novel
Every Summer After,Carley Fortune,Best Debut Novel
The Maid,Nita Prose,Best Debut Novel
Remarkably Bright Creatures,Shel,Best Debut Novel
A Flicker in the Dark,Stacy Willingham,Best Debut Novel
Black Cake,Charmaine Wilkerson,Best Debut Novel
All Good People Here,Ashley Flowers,Best Debut Novel
Kaikeyi,Vaishnavi Patel,Best Debut Novel
Cleopatra and Frankenstein,Coco Mellors,Best Debut Novel
The Hacienda,Isabel Cañas,Best Debut Novel
How High We Go in the Dark,Sequoia Nagamatsu,Best Debut Novel
Olga Dies Dreaming,Xóchitl González,Best Debut Novel
Thistlefoot,GennaRose Nethercott,Best Debut Novel
Nightcrawling,Leila Mottley,Best Debut Novel
Our Wives Under the Sea,Julia Armfield,Best Debut Novel
The Measure,Nikki Erlick,Best Debut Novel
Memphis,Tara M. Stringfellow,Best Debut Novel
The Violin Conspiracy,Brendan Slocumb,Best Debut Novel
Jackal,Erin E. Adams,Best Debut Novel
The Final Gambit,Jennifer Lynn Barnes,Best Young Adult Fiction
Loveless,Alice Oseman,Best Young Adult Fiction
I Kissed Shara Wheeler,Casey McQuiston,Best Young Adult Fiction
The First to Die at the End,Adam Silvera,Best Young Adult Fiction
I Must Betray You,Ruta Sepetys,Best Young Adult Fiction
Anatomy,Dana Schwartz,Best Young Adult Fiction
All My Rage,Sabaa Tahir,Best Young Adult Fiction
I Fell in Love with Hope,Lancali .,Best Young Adult Fiction
Family of Liars,E. Lockhart,Best Young Adult Fiction
The Lesbiana's Guide to Catholic School,Sonora Reyes,Best Young Adult Fiction
As Long as the Lemon Trees Grow,Zoulfa Katouh,Best Young Adult Fiction
The Weight of Blood,Tiffany D. Jackson,Best Young Adult Fiction
You'll Be the Death of Me,Karen M. McManus,Best Young Adult Fiction
She Gets the Girl,Rachael Lippincott,Best Young Adult Fiction
Hell Followed With Us,Andrew Joseph White,Best Young Adult Fiction
See You Yesterday,Rachel Lynn Solomon,Best Young Adult Fiction
My Mechanical Romance,Alexene Farol Follmuth,Best Young Adult Fiction
Nothing More to Tell,Karen M. McManus,Best Young Adult Fiction
Ophelia After All,Racquel Marie,Best Young Adult Fiction
A Show for Two,Tashie Bhuiyan,Best Young Adult Fiction
Gallant,V.E. Schwab,Best Young Adult Fantasy & Science Fiction
Bloodmarked,Tracy Deonn,Best Young Adult Fantasy & Science Fiction
Kingdom of the Feared,Kerri Maniscalco,Best Young Adult Fantasy & Science Fiction
The Ballad of Never After,Stephanie Garber,Best Young Adult Fantasy & Science Fiction
The Girl Who Fell Beneath the Sea,Axie Oh,Best Young Adult Fantasy & Science Fiction
Cytonic,Brandon Sanderson,Best Young Adult Fantasy & Science Fiction
Foul Lady Fortune,Chloe Gong,Best Young Adult Fantasy & Science Fiction
Belladonna,Adalyn  Grace,Best Young Adult Fantasy & Science Fiction
Cursed,Marissa Meyer,Best Young Adult Fantasy & Science Fiction
This Woven Kingdom,Tahereh Mafi,Best Young Adult Fantasy & Science Fiction
These Twisted Bonds,Lexi Ryan,Best Young Adult Fantasy & Science Fiction
All That's Left in the World,Erik J. Brown,Best Young Adult Fantasy & Science Fiction
The Sunbearer Trials,Aiden Thomas,Best Young Adult Fantasy & Science Fiction
Hotel Magnifique,Emily J. Taylor,Best Young Adult Fantasy & Science Fiction
A Magic Steeped in Poison,Judy I. Lin,Best Young Adult Fantasy & Science Fiction
So This Is Ever After,F.T. Lukens,Best Young Adult Fantasy & Science Fiction
If You Could See the Sun,Ann Liang,Best Young Adult Fantasy & Science Fiction
Only a Monster,Vanessa Len,Best Young Adult Fantasy & Science Fiction
The Dragon's Promise,Elizabeth Lim,Best Young Adult Fantasy & Science Fiction
Violet Made of Thorns,Gina Chen,Best Young Adult Fantasy & Science Fiction
I Am Quiet,Andie Powers,Best Middle Grade & Children's
Rise of the School for Good and Evil,Soman Chainani,Best Middle Grade & Children's
Amari and the Great Game,B.B. Alston,Best Middle Grade & Children's
Small Town Pride,Phil Stamper,Best Middle Grade & Children's
Witchlings,Claribel A. Ortega,Best Middle Grade & Children's
This Is (Not) Enough,Anna Kang,Best Middle Grade & Children's
Stellarlune,Shannon Messenger,Best Middle Grade & Children's
Zachary Ying and the Dragon Emperor,Xiran Jay Zhao,Best Middle Grade & Children's
The Elephant Girl,James Patterson,Best Middle Grade & Children's
Aru Shah and the Nectar of Immortality,Roshani Chokshi,Best Middle Grade & Children's
The Marvellers,Dhonielle Clayton,Best Middle Grade & Children's
Ravenfall,Kalyn Josephson,Best Middle Grade & Children's
The Ogress and the Orphans,Kelly Barnhill,Best Middle Grade & Children's
The Best Gift for Bear,Jennifer A. Bell,Best Middle Grade & Children's
I Am Able to Shine,Korey Watari,Best Middle Grade & Children's
New from Here,Kelly Yang,Best Middle Grade & Children's
The Pennymores and the Curse of the Invisible Quill,Eric Koester,Best Middle Grade & Children's
The Girl in White,Lindsay Currie,Best Middle Grade & Children's
Bastille vs. the Evil Librarians,Brandon Sanderson,Best Middle Grade & Children's
How to Heal a Gryphon,Meg Cannistra,Best Middle Grade & Children's
